manufacturer,model,family,aircraft_type,primary_use,status,weight_kg,mtow_kg,max_payload_kg,max_flight_time_min,max_speed_m_s,max_range_km,service_ceiling_m,max_wind_m_s,ip_rating,operating_temp_c,dimensions,wingspan_mm,gnss,camera_payload_summary,remote_id,source_url,image_source_url,image_license_status,media_status,source_priority,verified_at,notes
Autel Robotics,Alpha,Alpha Series,Multirotor,Public safety / inspection / search and rescue,Current,6.48,8.4,,40,25,30,4500,12,IP55,-20 to 50,Unfolded incl. props 1205×980×278 mm; folded 455×263×248 mm,,GPS + Galileo + BeiDou + GLONASS; RTK,"Wide, 35x optical zoom, dual thermal system, laser rangefinder",Region/firmware dependent,https://www.autelrobotics.com/productdetail/autel-alpha,https://www.autelrobotics.com/productdetail/autel-alpha,Official source reference only; licensing review required before local redistribution,Reference ready; local copy not included,Manufacturer / official documentation,2026-09-11,30 km endurance range with carbon-fiber propellers.
Autel Robotics,EVO Max 4T,EVO Max Series,Multirotor,Public safety / inspection / thermal operations,Current,1.645,1.999,,42,23,25,4000,12,IP43 (custom service),-20 to 50,Unfolded incl. props 562×649×150 mm,,GPS + Galileo + BDS + GLONASS,Fusion 4T: wide + zoom + thermal + laser rangefinder,Region/firmware dependent,https://www.autelrobotics.com/productdetail/EVO-Max-4T/,https://www.autelrobotics.com/productdetail/EVO-Max-4T/,Official source reference only; licensing review required before local redistribution,Reference ready; local copy not included,Manufacturer / official documentation,2026-09-11,42 min lab flight time; current V2 variants also exist.
Autel Robotics,Dragonfish Standard,Dragonfish Series,VTOL fixed-wing,ISR / mapping / inspection,Current,7.5,9.0,1.5,126,30,,6000,12,IP43,-20 to 50,With props 1465×2496×483 mm,2496,GPS + GLONASS + BDS + Galileo; RTK,Modular gimbals including zoom/thermal options,Region/firmware dependent,https://www.autelrobotics.com/wp-content/uploads/2025/01/EN_Dragonfish-Series-Standard-Aircraft-Flight-Manual-V2.2.2.pdf,https://www.autelrobotics.com/faq/dragonfishseries/,Official source reference only; licensing review required before local redistribution,Reference ready; local copy not included,Manufacturer / official documentation,2026-09-11,12 m/s wind in VTOL; some manuals list 15 m/s in fixed-wing mode.
Autel Robotics,Dragonfish-25,Dragonfish Series,VTOL fixed-wing,Long endurance ISR / multi-mission,Current,29.0,39.0,10.0,240,35,220,5000,12,IP45,-20 to 50,3025.7×4566×823.6 mm with propellers,4566,GNSS/RTK platform,DG-T5 / DG-T5L modular gimbals; EO/IR/laser options,Region/firmware dependent,https://www.autelrobotics.com/productdetail/dragonfish-25,https://www.autelrobotics.com/productdetail/dragonfish-25,Official source reference only; licensing review required before local redistribution,Reference ready; local copy not included,Manufacturer / official documentation,2026-09-11,Product page markets 210 min loaded; technical table lists max flight time 240 min.
Parrot,ANAFI Ai,ANAFI,Multirotor,Mapping / inspection / enterprise,Current,0.898,,,32,16,,5000,14,IP53,-10 to 40,Folded 304×130×118 mm; unfolded 320×440×118 mm,,GNSS plus 4G/Wi-Fi connectivity,48 MP 1/2-inch CMOS; 4K; 6x zoom,Platform/region dependent,https://www.parrot.com/en/drones/anafi-ai/technical-documentation/technical-specifications,https://www.parrot.com/en/drones/anafi-ai,Official source reference only; licensing review required before local redistribution,Reference ready; local copy not included,Manufacturer / official documentation,2026-09-11,14 m/s wind resistance in flight; 12 m/s takeoff/landing.
Parrot,ANAFI USA,ANAFI,Multirotor,Public safety / inspection / defense,Current,0.501,0.644,,32,14.7,4,5000,14.7,IP53,-36 to 50,Folded 252×104×84 mm; unfolded 282×373×84 mm,,GNSS,3-camera EO/IR stabilized gimbal; 32x zoom + thermal,Platform/region dependent,https://www.parrot.com/assets/s3fs-public/2023-02/ANAFI-USA-user-manual.pdf,https://www.parrot.com/en/drones/anafi-usa/rugged-easily-deployable,Official source reference only; licensing review required before local redistribution,Reference ready; local copy not included,Manufacturer / official documentation,2026-09-11,Official rugged enterprise/public-safety platform.
Skydio,X10,X10,Multirotor,Public safety / inspection / mapping,Current,2.11,2.49,,40,20,,4572,12.8,IP55,-20 to 60,Unfolded 790×650×145 mm; folded 350.5×165.1×119.4 mm,,GNSS + visual inertial autonomy,"Modular sensor packages for visible, thermal and inspection workflows",Supported by platform/region configuration,https://www.skydio.com/x10/technical-specs,https://www.skydio.com/x10,Official source reference only; licensing review required before local redistribution,Reference ready; local copy not included,Manufacturer / official documentation,2026-09-11,Startup under 40 seconds.
Wingtra,WingtraOne GEN II,WingtraOne,Tailsitter VTOL fixed-wing,Surveying / mapping / LiDAR,Current,4.8,4.8,0.8,59,16,10,,12,,,125×68×12 cm,1250,GPS L1/L2 + GLONASS L1/L2 + Galileo L1 + BeiDou L1; PPK,"Mapping payloads incl. RGB, LiDAR and survey cameras",Region dependent,https://wingtra.com/wingtraone-gen-ii-drone/,https://wingtra.com/wingtraone-gen-ii-drone/,Official source reference only; licensing review required before local redistribution,Reference ready; local copy not included,Manufacturer / official documentation,2026-09-11,Max sustained wind 12 m/s; gusts 18 m/s.
Quantum-Systems,Trinity Pro,Trinity,eVTOL fixed-wing,Surveying / mapping / LiDAR,Current,,5.75,,90,17,,4800,14,IP55,-12 to 50,Packing size 1002×830×270 mm,2394,Survey-grade GNSS / PPK ecosystem,"Phase One P5, Sony ILX-LR1, Qube LiDAR, Oblique D2M, MicaSense Altum-PT",Region dependent,https://lp.quantum-systems.com/hubfs/Downloadables/QS_INT_Trinity_Pro_Techsheet_240913_Screen.pdf,https://www.quantum-systems.com/project/trinity-pro/,Official source reference only; licensing review required before local redistribution,Reference ready; local copy not included,Manufacturer / official documentation,2026-09-11,90 min subject to export regulation; default limitation may be 59 min.
Delair,UX11,UX11,Fixed-wing,Surveying / mapping,Current,1.6,,,80,15,53,6000,12.5,,,Wingspan 1.2 m,1200,"Dual-frequency GNSS L1/L2, GPS + GLONASS; PPK",21.4 MP global-shutter mapping camera,Region dependent,https://delair.aero/uavs-new/professional-mapping-drone-delair-ux11/,https://delair.aero/uavs-new/professional-mapping-drone-delair-ux11/,Official source reference only; licensing review required before local redistribution,Reference ready; local copy not included,Manufacturer / official documentation,2026-09-11,80 min with extended endurance configuration; moderate-rain operation.
JOUAV,CW-15,CW Series,VTOL fixed-wing,Mapping / inspection / security / emergency,Current,,,3.0,180,16.94,,6500,13.8,,,Fuselage 2.06 m; wingspan 3.54 m,3540,Centimeter positioning; RTK class,Multi-payload platform up to 3 kg,Region dependent,https://www.jouav.com/products/cw-15.html,https://www.jouav.com/products/cw-15.html,Official source reference only; licensing review required before local redistribution,Reference ready; local copy not included,Manufacturer / official documentation,2026-09-11,180 min empty; 120 min with MG-120E payload.
Inspired Flight,IF800 Tomcat,IF800,Multirotor,Survey / inspection / LiDAR / research,Current,8.5,11.5,3.0,54,22,,4200,10,IP43,-20 to 45,Unfolded 132×114×52 cm; folded 36×44×20 cm,,Dual CubePilot Here4,"Open payload interface; Sony LR1, thermal, LiDAR and third-party payloads",ASTM F3411 Bluetooth Remote ID,https://docs.inspiredflight.com/inspired-documentation/products/aircraft/if800-tomcat/if800-tomcat-overview/technical-specifications,https://www.inspiredflight.com/if800,Official source reference only; licensing review required before local redistribution,Reference ready; local copy not included,Manufacturer / official documentation,2026-09-11,54 min max flight time published on overview; 3 kg max payload.
BRINC,LEMUR 2,LEMUR,Multirotor,Indoor tactical / public safety,Current,1.5,1.5,,20,21.46,5,,,Light rain,-20 to 45,405×332×99 mm,,Indoor-capable; position/altitude/manual modes,Integrated tactical imaging and two-way capabilities,Mission/configuration dependent,https://brincdrones.com/lemur-2/specifications/,https://brincdrones.com/lemur-2/,Official source reference only; licensing review required before local redistribution,Reference ready; local copy not included,Manufacturer / official documentation,2026-09-11,Perch time up to 6 hours; mesh networking supported.
Teledyne FLIR,SIRAS,SIRAS,Multirotor,Thermal inspection / public safety / industrial,Current,3.1,,,31,18,,,10,,-10 to 40,,,GNSS,Visible + radiometric thermal payload,Region dependent,https://www.flir.com/SIRAS,https://www.flir.com/SIRAS,Official source reference only; licensing review required before local redistribution,Reference ready; local copy not included,Manufacturer / official documentation,2026-09-11,Rated flight time 31 min; hot-swappable batteries.
AgEagle,eBee X,eBee,Fixed-wing,Surveying / mapping / agriculture / public safety,Current,,1.6,,90,30,55,,12.8,Light rain resistance,-15 to 40,Wingspan 116 cm,1160,GPS + GLONASS; RTK/PPK,"S.O.D.A. 3D, Aeria X, Duet T and other survey payloads",FAA Remote ID approved (current brochure),https://ageagle.com/wp-content/uploads/2025/05/eBee-X-2025-brochure-US-LETTER.pdf,https://ageagle.com/drones/ebee-x/,Official source reference only; licensing review required before local redistribution,Reference ready; local copy not included,Manufacturer / official documentation,2026-09-11,90 min with endurance battery; 500 ha max coverage claim.
Freefly Systems,Astro Max,Astro,Multirotor,Mapping / inspection / LiDAR / cinema,Current,5.831,8.7,3.0,43,,,,,IP43 tested,-20 to 50,Unfolded diameter 930 mm (1407 mm incl props); folded diameter 508 mm,,"L1/L2 GPS, GLONASS, BeiDou, Galileo","LR1, mapping, thermal, OGI, LiDAR and other modular payloads",Region/configuration dependent; NDAA/Blue variants available,https://freeflysystems.com/astro/specs,https://freeflysystems.com/astro,Official source reference only; licensing review required before local redistribution,Reference ready; local copy not included,Manufacturer / official documentation,2026-09-11,Up to 43 min published; 31 min with LR1; 20 min at 3 kg max payload.
